Delta fr 0°	Delta fr err 0°	Delta n_s 0°	Delta n_s 0° err	Delta fr 45°	Delta fr err 45°	Delta n_s 45°	Delta n_s 45° err	Delta fr 90°	Delta fr err 90°	Delta n_s 90°	Delta n_s 90° err	Delta fr 135°	Delta fr err 135°	Delta n_s 135°	Delta n_s 135° err	fields 0°	fields 45°	fields 90°	fields 135°			
-0.00175002845702857	2.31558664879769E-5	-0.00444617515778956	5.87749768491005E-5	-0.00927040960286949	3.39469783059747E-5	-0.0233691779791928	8.47945071305528E-5	-0.00982449177789414	3.43435543821755E-5	-0.0247508078995091	8.58265189786959E-5	-0.00908698373938278	2.70942825481529E-5	-0.0229104434137169	6.77125180252252E-5	0.2	0.2	0.2	0.2			
-0.00179183489131466	2.30703727580303E-5	-0.00455219111436873	5.85544845903973E-5	-0.00889816366646251	7.24367800903624E-5	-0.0224394925940115	1.81001435796633E-4	-0.00976195997920985	3.049696674497E-5	-0.0245948704085832	7.62671217884436E-5	-0.0085950281536959	5.40078844483783E-5	-0.0216811971664014	1.35040678725229E-4	0.205	0.205	0.205	0.205			
-0.00185660047051309	2.49007986206534E-5	-0.00471641034442902	6.31853225238557E-5	-0.00861336968241721	9.1355067526483E-5	-0.0217277314470416	2.28399147891918E-4	-0.00982017727880556	3.26113044858265E-5	-0.0247400493516164	8.15176722908588E-5	-0.00857601282969289	5.9858538631874E-5	-0.0216336583888351	1.49670876745995E-4	0.21	0.21	0.21	0.21			
-0.00185177221880903	2.31278624569691E-5	-0.00470416862371674	5.86945560085288E-5	-0.00888313936394133	8.07392323795845E-5	-0.0224019542029815	2.01749099823029E-4	-0.0099035967274286	3.03930904889416E-5	-0.0249480452615384	7.59893500188827E-5	-0.00847519815527792	8.13193219748985E-5	-0.0213815877394089	2.03361691326051E-4	0.215	0.215	0.215	0.215			
-0.00188641513292827	2.55140147555787E-5	-0.00479200076194122	6.4735620595505E-5	-0.00855666430242771	6.95814925631438E-5	-0.0215859621034581	1.73991448245901E-4	-0.00988203918974344	3.09848323217885E-5	-0.024894297715547	7.74636012726764E-5	-0.0085155843285768	5.98874871475049E-5	-0.0214825731390959	1.49761967535327E-4	0.22	0.22	0.22	0.22			
-0.00193348637068169	2.39447971400363E-5	-0.00491133294474808	6.07559371131964E-5	-0.0087520985829407	5.75307395731983E-5	-0.0220744974646811	1.43807702999813E-4	-0.00985087567027088	3.13252834767702E-5	-0.0248165961369298	7.83146067622935E-5	-0.00834341825638192	5.16708983708893E-5	-0.0210520136975209	1.29266401776151E-4	0.225	0.225	0.225	0.225			
-0.00198726859680813	2.40113817152378E-5	-0.005047664059636	6.09192629454401E-5	-0.00859662048368926	7.43054313267319E-5	-0.0216858584535893	1.85785809133794E-4	-0.00970184013740754	2.96851363030174E-5	-0.024444928527939	7.42562545815042E-5	-0.00816444938486499	7.39820919407744E-5	-0.0206042776966485	1.85134996027027E-4	0.23	0.23	0.23	0.23			
-0.0020591240712865	2.46318457328153E-5	-0.00522978466122987	6.24831547310621E-5	-0.00857765455663576	5.54644945367978E-5	-0.0216384418744171	1.38694531562119E-4	-0.00978602367291628	2.93997622614508E-5	-0.0246548811952151	7.35354984622418E-5	-0.00832113661551161	8.30157611531796E-5	-0.0209962796292951	2.0766994498215E-4	0.235	0.25	0.235	0.25			
-0.00208161329118574	2.73750892933596E-5	-0.00528677888001867	6.94270432718901E-5	-0.00859950749785759	6.99046603523192E-5	-0.0216930760927289	1.74783841214827E-4	-0.00980788235683161	3.55285338231379E-5	-0.0247093904516079	8.87778441656403E-5	-0.00842982492169747	7.05891334778808E-5	-0.0212681220804544	1.76548619751627E-4	0.24	0.275	0.24	0.275			
-0.00222653301887735	2.44015233249094E-5	-0.00565398336827036	6.1883019892545E-5	-0.00854750197348338	8.44585414643208E-5	-0.0215630537558964	2.11188274137042E-4	-0.00960565800905672	2.96984264989786E-5	-0.0242050064351463	7.43021138257363E-5	-0.00868786629227482	6.55696314187762E-5	-0.0219132677367316	1.63909291445665E-4	0.25	0.3	0.25	0.3			
-0.00240037794163355	2.52893869440405E-5	-0.00609433324873258	6.41115979687336E-5	-0.00848827936544849	2.81929989799567E-5	-0.0214149703571252	7.05491050222677E-5	-0.00975375802647553	3.56620138151455E-5	-0.0245744154364624	8.9119091770467E-5	-0.00880175805536123	4.07563400019886E-5	-0.0221979054086147	1.01876184772688E-4	0.27	0.3	0.27	0.325			
-0.00267506321252225	2.70260862245524E-5	-0.00678978626354196	6.84733133674262E-5	-0.00854399726204553	5.07971413722101E-5	-0.0215542908956662	1.27036625477079E-4	-0.0097696540067466	2.98041404538168E-5	-0.024614058340666	7.45431469012769E-5	-0.00886004384514921	4.51309600178342E-5	-0.0223435467960811	1.12791453617221E-4	0.29	0.31	0.29	0.35			
-0.00302244570834291	2.43909787411531E-5	-0.00766872420186207	6.17757810803708E-5	-0.00862801827112279	4.33673887602985E-5	-0.0217643517172372	1.08445928693866E-4	-0.00992524812345476	4.34131943053019E-5	-0.0250020243861556	1.08381703246422E-4	-0.00906780533644762	4.96768193064212E-5	-0.0228625460719516	1.24094015313625E-4	0.31	0.32	0.31	0.375			
-0.00327684389194453	2.95568281824682E-5	-0.00831199133562707	7.47928310375919E-5	-0.00857702604363338	5.86402398145773E-5	-0.0216368705014376	1.46633161660804E-4	-0.00996439617165158	3.58054485517561E-5	-0.0250996182552227	8.94406064912652E-5	-0.00924440434149894	2.9520699278081E-5	-0.0233035231092807	7.37449565332801E-5	0.33	0.325	0.33	0.4			
